year,procode,deprivation_peers,patients_peers,attendances_peers,fte_staff_peers,diagnosis_peers,night_beds_peers,day_beds_peers,age_0_15_peers,age_60_74_peers,no_procedure_peers,operating_expenses_peers,urban_peers,sites_peers,sea_distance_peers,mff_payment_index_peers,degree_of_specialisation_peers,student_staff_peers,cc_gs_peers,non_type_1_ae_department_peers,absence_rate_peers,dto_cs_peers,name,postcode,open_date,close_date,MH_trust_flag,catchment_cat,age_00_04_cat,age_05_14_cat,age_15_24_cat,age_25_64_cat,age_65_74_cat,age_75_plus_cat,sex_m_cat,patients_admitted_cat
2020,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R1D,20.2,47190,103850,1231.7,0.4,NA,NA,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL,20110701,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R1E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,20110901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
